customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-000019,Female,1,Yes,No,14,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),87.66,1176.87,Yes
CUST-000020,Male,0,Yes,No,40,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),65.0,2653.13,Yes
CUST-000021,Female,1,No,No,23,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,72.13,1618.07,Yes
CUST-000022,Male,0,No,No,28,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,71.31,1907.83,No
CUST-000023,Male,0,No,No,50,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),82.73,4242.23,Yes
CUST-000024,Female,0,Yes,No,57,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,73.39,3979.26,No
CUST-000025,Female,0,No,Yes,35,Yes,No,Fiber optic,No,No,No,No,Yes,No,One year,Yes,Mailed check,84.27,2828.22,Yes
CUST-000026,Female,1,Yes,No,46,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,23.92,1060.05,Yes
CUST-000027,Male,0,No,No,3,No,No phone service,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),68.24,213.21,Yes
CUST-000028,Female,1,No,No,17,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,94.96,1579.53,Yes
CUST-000029,Female,1,Yes,Yes,54,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,One year,Yes,Mailed check,85.71,4791.44,No
CUST-000030,Male,0,No,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,32.57,1486.54,Yes
CUST-000031,Male,0,Yes,No,3,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,34.45,103.57,Yes
CUST-000032,Male,0,Yes,No,65,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,70.92,4519.09,Yes
CUST-000033,Male,0,Yes,No,29,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,31.38,932.12,No
CUST-000034,Female,0,Yes,No,22,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Two year,No,Electronic check,67.22,1501.62,No
CUST-000035,Female,0,No,No,33,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,27.38,908.06,No
CUST-000036,Male,1,No,No,28,No,No phone service,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),83.4,2378.25,Yes
CUST-000037,Female,0,No,Yes,36,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),42.08,1588.9,No
CUST-000038,Female,0,No,Yes,11,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No,Two year,No,Electronic check,99.16,1052.57,Yes
CUST-000039,Male,0,No,No,10,Yes,Yes,DSL,Yes,No,No,No,No,No,Two year,Yes,Electronic check,60.71,618.65,Yes
CUST-000040,Female,0,Yes,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,39.07,2765.32,No
CUST-000041,Male,1,Yes,No,54,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,36.0,2036.26,No
CUST-000042,Female,0,Yes,No,26,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Two year,No,Electronic check,88.98,2270.02,Yes
CUST-000043,Female,1,No,Yes,62,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.27,4490.02,Yes
CUST-000044,Male,0,No,No,58,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),37.93,2260.91,No
CUST-000045,Male,1,No,Yes,50,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),32.31,1554.51,Yes
CUST-000046,Female,0,Yes,No,52,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,93.04,4947.92,Yes
CUST-000047,Male,0,Yes,Yes,69,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,82.53,5910.89,Yes
CUST-000048,Female,0,No,No,60,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),106.22,6528.06,Yes
CUST-000049,Female,0,Yes,No,18,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),81.57,1414.12,No
CUST-000050,Female,0,No,No,53,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),36.87,1863.57,No
CUST-000051,Female,0,Yes,Yes,11,Yes,No,DSL,Yes,No,No,No,Yes,No,Two year,No,Mailed check,74.61,857.47,No
CUST-000052,Male,0,Yes,Yes,36,Yes,Yes,DSL,No,Yes,No,Yes,No,No,One year,No,Mailed check,67.74,2325.37,No
CUST-000053,Male,0,No,No,4,Yes,No,DSL,Yes,No,No,No,No,No,Two year,Yes,Electronic check,63.19,243.65,Yes
CUST-000054,Male,0,No,Yes,12,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Credit card (automatic),81.07,926.87,Yes
CUST-000055,Male,0,No,Yes,52,No,No phone service,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),80.71,4181.46,Yes
CUST-000056,Male,0,No,No,27,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,28.15,792.26,No
CUST-000057,Female,0,Yes,Yes,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,28.8,324.51,No
CUST-000058,Male,0,No,Yes,71,Yes,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,65.73,4705.53,Yes
CUST-000059,Female,0,No,No,68,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),71.04,4768.89,Yes
CUST-000060,Female,0,No,No,16,No,No phone service,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,61.58,1021.13,Yes
CUST-000061,Female,0,No,No,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),38.18,1560.72,No
CUST-000062,Female,0,Yes,No,21,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),36.26,759.26,No
CUST-000063,Male,1,Yes,No,58,Yes,Yes,DSL,No,Yes,No,Yes,No,No,One year,Yes,Mailed check,73.48,4186.04,Yes
CUST-000064,Female,0,No,No,50,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Two year,No,Bank transfer (automatic),76.75,3925.54,No
CUST-000065,Male,0,No,No,31,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),38.61,1238.09,No
CUST-000066,Male,0,Yes,Yes,67,No,No phone service,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),75.1,5150.24,No
CUST-000067,Female,0,Yes,No,53,No,No phone service,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),73.61,4051.59,No
CUST-000068,Male,0,No,No,11,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,67.59,755.48,Yes
CUST-000069,Male,0,No,No,32,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,54.87,1777.56,Yes
CUST-000070,Male,0,No,No,60,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,59.91,3621.78,No
CUST-000071,Female,0,Yes,No,39,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,102.56,3898.97,Yes
CUST-000072,Male,0,No,No,7,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),81.86,579.53,Yes
CUST-000073,Male,0,No,No,56,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,91.18,5345.52,Yes
CUST-000074,Male,1,No,No,35,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,One year,Yes,Electronic check,104.95,3635.63,Yes
CUST-000075,Female,1,Yes,No,17,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),68.79,1203.73,Yes
CUST-000076,Male,1,No,No,59,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,No,Credit card (automatic),61.39,3688.21,Yes
CUST-000077,Male,1,No,No,64,No,No phone service,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,63.13,4002.33,Yes
CUST-000078,Male,0,No,No,42,Yes,No,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),64.63,2838.5,Yes
CUST-000079,Female,0,No,Yes,52,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,37.15,1971.77,No
CUST-000080,Female,0,No,Yes,17,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,71.4,1157.05,Yes
CUST-000081,Female,0,Yes,No,54,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,53.98,2979.94,No
CUST-000082,Male,0,No,Yes,66,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),33.47,2123.18,No
CUST-000083,Male,1,No,Yes,17,No,No phone service,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),70.74,1206.2,No
CUST-000084,Female,0,Yes,Yes,68,No,No phone service,DSL,No,No,No,No,Yes,No,One year,Yes,Mailed check,57.34,4060.02,Yes
CUST-000085,Female,0,Yes,No,6,Yes,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),78.4,478.66,Yes
CUST-000086,Female,0,No,No,32,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,73.04,2344.44,Yes
CUST-000087,Male,0,Yes,No,5,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Two year,No,Electronic check,82.36,405.79,Yes
CUST-000088,Male,0,No,No,32,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),74.98,2441.46,Yes
CUST-000089,Female,0,Yes,No,47,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Two year,No,Mailed check,94.14,4534.92,No
CUST-000090,Female,0,Yes,No,63,No,No phone service,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,61.98,3918.49,Yes
CUST-000091,Male,0,Yes,No,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),26.97,271.38,Yes
CUST-000092,Female,1,No,No,64,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,51.63,3298.57,No
CUST-000093,Female,0,No,No,72,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,One year,No,Bank transfer (automatic),84.55,5861.27,Yes
CUST-000094,Male,0,Yes,No,4,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,81.03,332.3,Yes
CUST-000095,Female,0,Yes,Yes,70,Yes,No,DSL,No,Yes,No,No,No,No,Two year,Yes,Electronic check,64.92,4446.12,Yes
CUST-000096,Male,0,Yes,Yes,66,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),74.59,4951.39,Yes
CUST-000097,Male,0,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),46.56,95.75,Yes
CUST-000098,Female,1,No,No,4,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),49.73,197.65,Yes
CUST-000099,Female,0,No,No,52,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,82.91,4124.58,Yes
CUST-000100,Male,0,Yes,Yes,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),38.4,1140.38,No
CUST-000101,Female,0,No,No,19,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,One year,No,Electronic check,91.36,1749.42,No
CUST-000102,Male,0,Yes,No,29,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,70.51,2146.69,No
CUST-000103,Female,0,Yes,No,24,Yes,No,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,No,Mailed check,80.37,1910.29,Yes
CUST-000104,Male,0,Yes,No,71,Yes,No,Fiber optic,No,No,No,No,Yes,No,Two year,No,Mailed check,84.57,6279.98,Yes
CUST-000105,Female,1,Yes,No,17,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,63.26,1076.78,Yes
CUST-000106,Female,0,Yes,No,6,Yes,Yes,DSL,No,No,Yes,No,Yes,No,One year,Yes,Electronic check,77.37,479.1,No
CUST-000107,Female,0,No,No,60,No,No phone service,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),68.41,3935.73,Yes
CUST-000108,Female,0,Yes,No,61,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,18.78,1108.4,Yes
CUST-000109,Male,0,No,No,65,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,30.23,1955.66,Yes
CUST-000110,Female,1,No,No,70,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),74.09,5065.46,Yes
CUST-000111,Male,0,No,Yes,2,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),40.48,83.34,Yes
CUST-000112,Female,0,No,No,56,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),75.56,4355.15,Yes
CUST-000113,Female,0,No,No,19,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,35.19,646.78,Yes
CUST-000114,Male,0,Yes,Yes,30,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),88.38,2755.97,Yes
CUST-000115,Female,0,Yes,No,32,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,98.31,3053.94,Yes
CUST-000116,Female,0,No,No,71,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,No,Electronic check,70.65,4881.18,Yes
CUST-000117,Male,0,No,Yes,38,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,92.05,3505.44,Yes
CUST-000118,Male,0,No,No,16,No,No phone service,Fiber optic,No,No,No,No,Yes,No,One year,Yes,Mailed check,63.46,1003.7,Yes
CUST-000119,Male,0,No,Yes,6,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),84.46,521.35,Yes
CUST-000120,Male,0,No,No,42,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),102.89,4501.02,No
CUST-000121,Male,0,No,No,60,Yes,No,DSL,Yes,No,No,No,Yes,Yes,One year,No,Mailed check,83.49,5039.08,Yes
CUST-000122,Female,0,No,No,51,Yes,No,Fiber optic,No,No,No,Yes,No,No,Two year,No,Mailed check,75.72,3941.37,Yes
CUST-000123,Female,0,No,No,68,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,71.7,4910.8,Yes
CUST-000124,Male,0,No,Yes,3,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Two year,No,Electronic check,74.35,223.02,No
CUST-000125,Female,0,No,No,29,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Two year,Yes,Mailed check,89.34,2634.78,Yes
CUST-000126,Female,0,No,Yes,44,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,81.32,3636.14,Yes
CUST-000127,Male,0,No,No,62,No,No phone service,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),47.29,2877.62,Yes
CUST-000128,Female,1,Yes,No,22,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),71.53,1531.4,Yes
CUST-000129,Female,0,Yes,Yes,49,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,82.05,4165.6,Yes
CUST-000130,Female,0,No,No,15,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,37.31,573.76,Yes
CUST-000131,Female,0,Yes,No,43,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,No,Mailed check,106.38,4558.67,Yes
CUST-000132,Female,0,Yes,No,56,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,One year,Yes,Mailed check,80.57,4498.1,Yes
CUST-000133,Male,0,No,Yes,59,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Two year,Yes,Electronic check,87.4,5332.08,No
CUST-000134,Female,0,No,No,32,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),59.76,1878.83,No
CUST-000135,Female,0,No,Yes,34,No,No phone service,DSL,Yes,Yes,Yes,No,No,Yes,Two year,Yes,Bank transfer (automatic),68.05,2348.59,No
CUST-000136,Male,0,No,No,64,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,79.03,5086.03,No
CUST-000137,Female,1,Yes,No,39,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,30.51,1209.76,No
CUST-000138,Male,0,Yes,No,25,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),62.87,1590.28,Yes
CUST-000139,Male,0,No,No,20,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Two year,Yes,Mailed check,95.29,1888.98,No
CUST-000140,Male,1,Yes,No,51,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),93.24,4843.84,Yes
CUST-000141,Female,1,No,No,51,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,One year,No,Credit card (automatic),84.66,4196.39,No
CUST-000142,Male,0,No,No,39,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),89.95,3647.62,No
CUST-000143,Male,0,No,No,11,No,No phone service,DSL,No,No,No,No,No,Yes,One year,Yes,Electronic check,58.91,671.72,No
CUST-000144,Male,0,No,No,11,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),39.62,427.73,Yes
CUST-000145,Female,0,No,No,17,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),92.21,1615.89,No
CUST-000146,Female,0,No,Yes,0,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,64.46,67.26,Yes
CUST-000147,Male,0,Yes,No,35,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),32.74,1148.63,No
CUST-000148,Male,0,No,No,30,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),29.69,860.94,Yes
CUST-000149,Female,0,Yes,No,28,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,36.44,1057.51,No
CUST-000150,Male,0,No,No,68,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),96.73,6283.49,Yes
CUST-000151,Female,0,Yes,Yes,17,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),39.03,660.11,No
CUST-000152,Male,0,No,Yes,59,Yes,Yes,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Mailed check,64.9,3672.51,Yes
CUST-000153,Female,0,No,No,14,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,28.81,406.87,Yes
CUST-000154,Male,1,Yes,No,44,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),104.81,4811.37,Yes
CUST-000155,Male,0,No,No,62,No,No phone service,Fiber optic,No,No,Yes,Yes,No,Yes,Two year,Yes,Electronic check,79.37,4921.99,No
CUST-000156,Female,0,Yes,No,61,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,One year,No,Credit card (automatic),73.42,4475.78,No
CUST-000157,Male,0,Yes,Yes,43,No,No phone service,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,73.44,3076.96,Yes
CUST-000158,Female,0,Yes,No,15,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,One year,Yes,Bank transfer (automatic),95.04,1424.29,Yes
CUST-000159,Female,0,Yes,No,27,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,30.1,822.52,Yes
CUST-000160,Female,0,No,No,30,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),38.07,1141.09,Yes
CUST-000161,Female,0,No,Yes,61,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),27.07,1649.1,Yes
CUST-000162,Female,0,No,No,27,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,66.81,1787.04,No
CUST-000163,Male,0,No,No,60,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,One year,No,Bank transfer (automatic),90.14,5513.64,Yes
CUST-000164,Male,0,No,No,69,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,90.33,6135.26,Yes
CUST-000165,Male,0,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),97.62,765.04,Yes
CUST-000166,Female,1,No,Yes,68,Yes,Yes,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),86.49,5671.92,No
CUST-000167,Male,0,Yes,No,41,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,Yes,One year,Yes,Mailed check,99.96,3972.49,Yes
CUST-000168,Male,0,No,Yes,43,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,70.46,3017.73,No
CUST-000169,Male,0,No,No,22,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),74.25,1658.37,Yes
CUST-000170,Male,0,Yes,No,24,Yes,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),65.71,1630.99,Yes
CUST-000171,Male,0,Yes,Yes,39,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),64.34,2497.34,Yes
CUST-000172,Male,0,Yes,No,14,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Mailed check,97.89,1317.08,Yes
CUST-000173,Female,0,Yes,Yes,52,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,57.07,2958.05,No
CUST-000174,Female,0,No,No,48,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Two year,Yes,Mailed check,90.32,4237.52,No
